Fecha: 2025-12-09
Hora: 14:13:40
"Canales activos: CH1=True, CH2=False, CH3=False"
Operación: Ninguna
Trigger: Desactivado
Tiempo (s),CH1 (V),CH2 (V),CH3 (V),Operación (V)
0.000316,0.3421,nan,nan,nan
0.001504,0.3959,nan,nan,nan
0.002736,0.4545,nan,nan,nan
0.003968,0.4936,nan,nan,nan
0.00652,0.5083,nan,nan,nan
0.009068,0.4252,nan,nan,nan
0.01162,0.303,nan,nan,nan
0.014256,0.2102,nan,nan,nan
0.016888,0.2102,nan,nan,nan
0.019528,0.303,nan,nan,nan
0.02216,0.4301,nan,nan,nan
0.024796,0.5083,nan,nan,nan
0.027428,0.4839,nan,nan,nan
0.030064,0.3715,nan,nan,nan
0.0327,0.2542,nan,nan,nan
0.035336,0.2004,nan,nan,nan
0.037976,0.2395,nan,nan,nan
0.040604,0.3568,nan,nan,nan
0.04324,0.479,nan,nan,nan
0.045872,0.5083,nan,nan,nan
0.048508,0.4497,nan,nan,nan
0.051144,0.3226,nan,nan,nan
0.05378,0.2199,nan,nan,nan
0.05642,0.2053,nan,nan,nan
0.059048,0.2835,nan,nan,nan
0.061684,0.4106,nan,nan,nan
0.06432,0.5034,nan,nan,nan
0.066956,0.4985,nan,nan,nan
0.069588,0.4008,nan,nan,nan
0.072224,0.2737,nan,nan,nan
0.07486,0.2004,nan,nan,nan
0.077496,0.2248,nan,nan,nan
0.080136,0.3372,nan,nan,nan
0.082764,0.4594,nan,nan,nan
0.0854,0.5132,nan,nan,nan
0.088036,0.4643,nan,nan,nan
0.090668,0.347,nan,nan,nan
0.093304,0.2346,nan,nan,nan
0.09594,0.1955,nan,nan,nan
0.098576,0.2688,nan,nan,nan
0.101208,0.391,nan,nan,nan
0.103928,0.4936,nan,nan,nan
0.106648,0.4985,nan,nan,nan
0.109368,0.4057,nan,nan,nan
0.112088,0.2737,nan,nan,nan
0.114808,0.1955,nan,nan,nan
0.117528,0.2248,nan,nan,nan
0.120248,0.3421,nan,nan,nan
0.122976,0.4692,nan,nan,nan
0.125688,0.5132,nan,nan,nan
0.128408,0.4448,nan,nan,nan
0.131128,0.3177,nan,nan,nan
0.133848,0.2102,nan,nan,nan
0.136568,0.2053,nan,nan,nan
0.139288,0.2981,nan,nan,nan
0.142008,0.4301,nan,nan,nan
0.144728,0.5083,nan,nan,nan
0.147448,0.4839,nan,nan,nan
0.150168,0.3666,nan,nan,nan
0.152888,0.2444,nan,nan,nan
0.155608,0.1955,nan,nan,nan
0.158328,0.2542,nan,nan,nan
0.161048,0.3861,nan,nan,nan
0.163768,0.4888,nan,nan,nan
0.166488,0.5083,nan,nan,nan
0.169216,0.4106,nan,nan,nan
0.171928,0.2835,nan,nan,nan
0.174648,0.2004,nan,nan,nan
0.177376,0.2248,nan,nan,nan
0.180088,0.3372,nan,nan,nan
0.182808,0.4643,nan,nan,nan
0.185528,0.5083,nan,nan,nan
0.188248,0.4545,nan,nan,nan
0.190968,0.3275,nan,nan,nan
0.193688,0.2199,nan,nan,nan
0.196408,0.2004,nan,nan,nan
0.199128,0.2884,nan,nan,nan
0.201848,0.4203,nan,nan,nan
0.204568,0.5083,nan,nan,nan
0.207288,0.4839,nan,nan,nan
0.210016,0.3715,nan,nan,nan
0.212728,0.2493,nan,nan,nan
0.215448,0.2004,nan,nan,nan
0.218168,0.2493,nan,nan,nan
0.220888,0.3812,nan,nan,nan
0.223608,0.4888,nan,nan,nan
0.226328,0.5083,nan,nan,nan
0.229048,0.4203,nan,nan,nan
0.231768,0.2884,nan,nan,nan
0.234488,0.2053,nan,nan,nan
0.237208,0.2248,nan,nan,nan
0.239928,0.3324,nan,nan,nan
0.242648,0.4594,nan,nan,nan
0.245368,0.5132,nan,nan,nan
0.248088,0.4594,nan,nan,nan
0.250808,0.3275,nan,nan,nan
0.253528,0.2199,nan,nan,nan
0.256256,0.2004,nan,nan,nan
0.258968,0.2835,nan,nan,nan
0.261688,0.4203,nan,nan,nan
0.264412,0.5034,nan,nan,nan
0.267128,0.4888,nan,nan,nan
0.269848,0.3763,nan,nan,nan
0.272568,0.2542,nan,nan,nan
0.275288,0.1955,nan,nan,nan
0.278008,0.2493,nan,nan,nan
0.280728,0.3715,nan,nan,nan
0.283448,0.4839,nan,nan,nan
0.286168,0.5083,nan,nan,nan
0.288888,0.4252,nan,nan,nan
0.291608,0.2981,nan,nan,nan
0.294328,0.2053,nan,nan,nan
0.297056,0.2151,nan,nan,nan
0.299768,0.3275,nan,nan,nan
0.302488,0.4545,nan,nan,nan
0.305208,0.5132,nan,nan,nan
0.307928,0.4594,nan,nan,nan
0.310648,0.3372,nan,nan,nan
0.313368,0.2248,nan,nan,nan
0.316088,0.2004,nan,nan,nan
0.318808,0.2835,nan,nan,nan
0.321528,0.4154,nan,nan,nan
0.324248,0.5034,nan,nan,nan
0.326968,0.4936,nan,nan,nan
0.329688,0.3812,nan,nan,nan
0.332408,0.259,nan,nan,nan
0.335128,0.1955,nan,nan,nan
0.337848,0.2444,nan,nan,nan
0.340568,0.3666,nan,nan,nan
0.343296,0.4839,nan,nan,nan
0.346008,0.5034,nan,nan,nan
0.348728,0.4301,nan,nan,nan
0.351456,0.2981,nan,nan,nan
0.354168,0.2053,nan,nan,nan
0.356888,0.2151,nan,nan,nan
0.359608,0.3226,nan,nan,nan
0.362328,0.4448,nan,nan,nan
0.365048,0.5132,nan,nan,nan
0.367768,0.4692,nan,nan,nan
